country,description,year_1960,year_1970,year_1980,year_1990,year_2000,year_2010,year_2020
Lesotho,GDP,34579308,68738625,431561377,596415105,887295268,2234731974,1844510138
Liberia,GDP,NA,NA,NA,NA,874000000,1998000000,2950000000
Libya,GDP,NA,NA,NA,28901836158,38270206950,74773444901,25418461532
Liechtenstein,GDP,NA,90098331,534701916,1421466240,2483953103,5082366478,NA
Lithuania,GDP,NA,NA,NA,NA,11524776867,37128694028,55887271833
Luxembourg,GDP,703925706,1509155305,6232005794,13229247948,21263514833,53212476812,73263982103
Macao SAR, China,GDP,NA,NA,NA,3246477995,6774193548,28241858489,NA
Madagascar,GDP,673081724,1111859570,5201818349,3931334871,4629247091,9982711030,13720634105
Malawi,GDP,162956741,290531621,1237655461,1880771556,1743506531,6959655571,11961848553
Malaysia,GDP,1916241997,3864170913,24488033442,44024178343,93789736842,255017000000,336664000000
Maldives,GDP,NA,NA,42463576,215089005,624337145,2588176055,4030203167
Mali,GDP,NA,359772363,1759690812,2681912030,2961484858,10689167195,17393761397
Malta,GDP,NA,250721822,1250242108,2547163582,4069515579,9035932122,14647384608
Marshall Islands,GDP,NA,NA,NA,78476000,115347500,160407100,NA
Mauritania,GDP,NA,309405316,1047924649,1506914408,1779523344,5628882266,7778525643
Mauritius,GDP,NA,NA,1131788192,2653480001,4663313620,10003670690,10914065306
Mexico,GDP,13040000000,35520000000,205139000000,261254000000,707907000000,1057800000000,1076160000000
Micronesia, Fed. Sts.,GDP,NA,NA,NA,147200000,233271800,296944100,NA
Moldova,GDP,NA,NA,NA,NA,1288429392,6974960345,11914040905
Monaco,GDP,NA,293073868,1378130996,2481316054,2647885849,5367625613,NA
Mongolia,GDP,NA,NA,NA,2560785660,1136896124,7189481824,13137128659
Montenegro,GDP,NA,NA,NA,NA,984297589,4143033276,4778582336
Morocco,GDP,2037150716,3956328426,21728770055,30180108562,38857251336,93216746662,112871000000
Mozambique,GDP,NA,NA,NA,NA,5656473652,11104648673,14021421106
Myanmar,GDP,NA,NA,NA,NA,4660052520,51518307518,76185586097
Namibia,GDP,NA,NA,2422096075,2789944498,3922247985,11431334447,10699926683
Nauru,GDP,NA,NA,NA,NA,NA,47564520,NA
Nepal,GDP,508334414,865975309,1945916583,3627562403,5494252208,16002656434,33657175561
Netherlands,GDP,12276734172,38164716625,195152000000,318331000000,416443000000,846555000000,912242000000
New Caledonia,GDP,NA,358815682,1182457143,2529310104,2682347064,NA,NA
New Zealand,GDP,5485854792,NA,23244547385,45495129385,52623281957,146518000000,212482000000
Nicaragua,GDP,223854667,776585681,2189347368,1009455484,5107329007,8758639096,12621476264
Niger,GDP,449526873,649916708,2508524186,3512356353,2241753120,7851191899,13678234008
Nigeria,GDP,4196092258,12545849083,64201788123,54035795388,69448756933,361457000000,432294000000
North Macedonia,GDP,NA,NA,NA,4699646643,3773653058,9412311666,12266949805
Northern Mariana Islands,GDP,NA,NA,NA,NA,NA,799000000,NA
Norway,GDP,5163271598,12814123115,64439382896,119792000000,171247000000,428757000000,362009000000
Oman,GDP,NA,256299496,5981760278,11685045514,19507452508,56913065779,NA
Pakistan,GDP,3749265015,10027509450,23654444444,40010423970,82017743416,177166000000,263687000000
Palau,GDP,NA,NA,NA,NA,146297500,185943000,NA
Panama,GDP,537147100,1351006400,4614086400,6433967000,12304115000,29440300000,52938100000
Papua New Guinea,GDP,230496033,645537126,2545983008,3219730365,3521339699,14250755231,23591523025
Paraguay,GDP,NA,594611111,4448087302,5812114523,8855705140,27237782850,35304238230
Peru,GDP,2571908062,7432223177,18134029180,26410386669,51744749133,147529000000,202014000000
Philippines,GDP,6684568805,6687204834,32450541843,44311593756,83670261708,208369000000,361489000000
Poland,GDP,NA,NA,NA,65977749037,172219000000,479834000000,594165000000
Portugal,GDP,3193200404,8108235704,32896519824,78713860217,118311000000,237881000000,231256000000
Puerto Rico,GDP,1691900000,5034700000,14436100000,30603919000,61701800000,98381300000,103138000000
Qatar,GDP,NA,301791302,7829094613,7360439423,17759890110,125122000000,146374000000
Romania,GDP,NA,NA,NA,38995454545,37253259017,166309000000,248716000000
ROC,GDP,NA,NA,NA,516814000000,259710000000,1524920000000,1483500000000
Rwanda,GDP,119000024,219900006,1254765350,2550185618,2067528500,6121234529,10333991892
Samoa,GDP,NA,NA,NA,125766270,269019710,663161518,807027244
San Marino,GDP,NA,NA,NA,NA,1005159388,1881214371,NA
Sao Tome and Principe,GDP,NA,NA,NA,NA,NA,196652514,472914470
Saudi Arabia,GDP,NA,5377268849,164542000000,117630000000,189515000000,528207000000,700118000000
Senegal,GDP,1003692375,1297407829,4510107330,7390967035,6046725378,16121314671,24910904236
Serbia,GDP,NA,NA,NA,NA,6875845987,41819468692,52960134079
Seychelles,GDP,12012012,18432031,147357223,368584759,614879765,969936525,1124937500
Sierra Leone,GDP,322009472,434410374,1100685845,649644827,635874002,2578026297,3865018883
Singapore,GDP,704756305,1920586698,11896256783,36144336769,96074477958,239809000000,339998000000
Sint Maarten (Dutch part),GDP,NA,NA,NA,NA,NA,NA,NA
Slovakia,GDP,NA,NA,NA,12747380650,29169953013,90310718349,104574000000
Slovenia,GDP,NA,NA,NA,NA,20289627637,48161250405,52880473700
Solomon Islands,GDP,NA,NA,183176669,214726352,419933581,846797694,1551245526
Somalia,GDP,180459937,322600009,603592657,917044228,NA,NA,4917607582
South Africa,GDP,7575396973,18418392640,82980483388,115552000000,136362000000,375349000000,301924000000
South Sudan,GDP,NA,NA,NA,NA,NA,14602072411,NA
Spain,GDP,12072126075,40992995008,232767000000,536559000000,596878000000,1420720000000,1281200000000
Sri Lanka,GDP,1409873950,2296470588,4024621900,8032551173,16330814180,56725749222,80706600229
St. Kitts and Nevis,GDP,12366564,16300000,68459259,217259259,421695770,760170370,927451852
St. Lucia,GDP,NA,NA,170370370,579629630,932592593,1486758037,1703364241
St. Martin (French part),GDP,NA,NA,NA,NA,NA,NA,NA
St. Vincent and the Grenadines,GDP,13066558,18450000,82340340,240366667,396262963,681225926,809681482
Sudan,GDP,1307333333,2437666667,7459833333,12408647541,12257418326,65633998265,26110829190
Suriname,GDP,99650000,274900000,795000000,388400000,947671970,4368398048,3807922874
Sweden,GDP,15822585034,38092452061,142092000000,261846000000,262835000000,495813000000,537610000000
Switzerland,GDP,9522746719,NA,122661000000,265987000000,279841000000,603434000000,747969000000
Syrian Arab Republic,GDP,857704432,2140383696,13062421025,12308624284,19325894913,NA,NA
Tajikistan,GDP,NA,NA,NA,2629395852,860521119,5642178580,8194150302
Tanzania,GDP,NA,NA,NA,4258743263,13375976354,32014249841,62409748427
Thailand,GDP,2760747472,7086538438,32353440727,85343063966,126392000000,341105000000,501795000000
Timor-Leste,GDP,NA,NA,NA,NA,367087900,881826900,1821000000
Togo,GDP,121128073,253976626,1136408814,1628427515,1491891108,3429461495,7574635241
Tonga,GDP,NA,NA,53260077,113563822,204849613,366840012,NA
Trinidad and Tobago,GDP,535670128,821850000,6235833333,5068000000,8154338233,22157948396,21529824769
Tunisia,GDP,NA,1439238095,8744134354,12290568182,21473261837,44050929160,39235672868
Turkey,GDP,13995067818,17086956522,68789289566,150676000000,274303000000,776993000000,720101000000
Turkmenistan,GDP,NA,NA,NA,3189539641,2904732773,22583157895,NA
Turks and Caicos Islands,GDP,NA,NA,NA,NA,NA,686787800,924583000
Tuvalu,GDP,NA,NA,NA,8824448,13742057,31823519,48855550
Uganda,GDP,423008386,1260084034,1244610000,4304398866,6193246837,26558908398,37372032558
Ukraine,GDP,NA,NA,NA,81456895543,31261718319,136013000000,155582000000
United Arab Emirates,GDP,NA,NA,43598748449,50701443748,104337000000,289787000000,NA
Great Britain,GDP,73233967692,130672000000,564948000000,1093170000000,1658190000000,2481580000000,2707740000000
United States of America,GDP,543300000000,1073300000000,2857310000000,5963140000000,10252300000000,14992100000000,20936600000000
Uruguay,GDP,1242289239,2137096774,10163020116,9298839655,22823255802,40284481652,53628827440
Uzbekistan,GDP,NA,NA,NA,13360607918,13760513969,46679875794,57707189945
Vanuatu,GDP,NA,NA,121185498,168879207,272014693,670713208,854793640
Venezuela, RB,GDP,7779090909,11561111111,59116511628,48598315565,117141000000,393192000000,NA
Vietnam,GDP,NA,NA,NA,6471740806,31172518403,115932000000,271158000000
Virgin Islands (U.S.),GDP,NA,NA,NA,NA,NA,4339000000,NA
West Bank and Gaza,GDP,NA,NA,NA,NA,4313600000,9681500000,15561300000
Yemen, Rep.,GDP,NA,NA,NA,5647119229,9652436180,30906749533,NA
Zambia,GDP,713000000,1825285714,3829500000,3285217391,3600683040,20265559484,19320053859
Zimbabwe,GDP,1052990400,1884206300,6678868200,8783816700,6689957600,12041655200,16768513443
